Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
16-to-24,16 to 24,16-to-24,,0,
16-years-and-over,16 years and over,16-years-and-over,,1,
25-to-34,25 to 34,25-to-34,,2,
35-to-44,35 to 44,35-to-44,,3,
45-to-54,45 to 54,45-to-54,,4,
55-to-64,55 to 64,55-to-64,,5,
65-to-74,65 to 74,65-to-74,,6,
75-and-over,75 and over,75-and-over,,7,
